condition_id,period
0x9942056d5a5b46d26b266aedfcf1ed709c2aebc929d966b03ffba1251f9ee210,10
0xd935ca35c40b2283190499f6c7cadae2815e5c8b341a1757a42b96a254526215,6
0x63634b4e14297a748923f86dca4fa0c6c659db0f5fadeeb8e419e48e20759c34,305
0x7d60bcc41623a7c4f300f78091cf97bfdf38677319f67ec7243351992bfd3b08,70
0x40bbdd26dc08406eedcb913efee7f7faddf50e16fc21caedb4972d57fd71e0d1,305
0x43d7d4602d2c3ca67db94667152d0ed86c0b5151b6de4328daabf27e94698171,75
0x4eb8e44c37e307a2125f400b675e98861d091f9e50f5be07a25304c930cf85aa,306
0x55c551896c10a74861f2fd88b4f928694310114704cc74b29b9760d1156cade6,304
0x58a6ab5c8c99249e86e856da84e764a8279237b16004f7e0ae1ffadc24dece6a,11
0x9f48a05fb3f34c80866fc41729ec0b085dba86c944df2b0400b925c31e56e233,17
0x62ce1dffb3352601d70367aa55b7ca602ecc41afdbe6547267b8d28bdcb48dcf,74
0x952e08c11823ace3e9a7c00c2f08eea5cf7d6f3412a2a509efe3dbd16115d21b,179
0xc84158739db6f15f33ad8518b509cd0688baa794209759e628bd025f01927b4c,259
0xdb1c6497f967a07e89f2956f10edfd3289443e46c6453058f0934ae32936d3a4,172
0x4b42c17d638e0054120d84a48212d84cfff94bec59d7249c2283f12119861c22,167
0xd898154718493ff0aab781ee5db2fbbb44a5712800b571629a5846cdd570cf8d,179
0x315804188956a5ece2ae6e7ebfcc6fdb3ef9e00c4dbdc8af41f705009c6baf07,30
0x25ee65945ec1880c6c62eea7bcd33512d6de23f05ec9a555db332a931a74d22d,30
0x3addbd9ce42c7e91ccf7575fb4ebb8b7168d534a7e7d91312746dde58e0a9275,167
0x4774bdc661b14290b537019240c9d1c3b859126fe4e159636b8f461e0dcf78e0,30
0x8041ffebaa0dcd3e1d192c5aa6185cef14ba9963fff52d0e7f296153cf144539,35
0xcdcbe22d75154a6063c32f42319a56d51b72cbc51952f574f0477af36dbcfe93,167
0xdc0305fbe2b2851d4820af3461fa70c43641cbe4fb0e74dd79bfbd6dc89f170d,179
0x6a031c4888fcfb886861d3616cce760ea284dbf46e355b197400c2b12a4c37a6,172
0xf637b48cfbd112e298d991930c77340c78eb58ee4824b6a408287dadb6663d8a,179
0xb0f35ef24df5dedc6f05d78dd5227d2d2a9a8389809cb09dd232ab5e52db1cc8,167
0x5acad359612174a78b4815a95412aff62fa35ef3411e1bd59fa2fdf7b7699601,172
0x31aafb7b283edd5c841086cbf43807f2fe53fd36638bfb09e2edefd3b567cfbe,167
0xdd866827787d87ade4ac9a515e1e748a2ad39f374f2c522a16ee8faffef4eb4c,179
0x57b8a07a436c48ba108848bd3197e1109257dd93b38669b8250bd98f45d71af6,179
0x67b162be33b7a37921d32f8954e4ae8f511b349d28c973f8a860653e0f6f6b90,155
0xcbd8b18d2be8101ca0f467e0840adcc52381c03fde07884c4b1ec0ae8356e0ed,179
0x6a0bf25cacee15e507476f9bd79acd63a149a5553bd2acbd82972d30ef435366,35
